Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
1.000000,21246.537396,0.104612,0.658958,164.474714,
2.000000,2160.664820,0.010639,0.732684,52.450395,
3.000000,9196.675900,0.045282,0.950389,108.210773,
4.000000,1385.041551,0.006820,0.810129,41.993924,
5.000000,1939.058172,0.009547,0.828004,49.687881,
6.000000,8781.163435,0.043236,0.829919,105.737999,
7.000000,1551.246537,0.007638,0.784007,44.442192,
8.000000,2160.664820,0.010639,0.805669,52.450395,
9.000000,3545.706371,0.017458,0.699581,67.190279,
10.000000,332.409972,0.001637,0.670357,20.572737,
11.000000,1274.238227,0.006274,0.806701,40.279157,
12.000000,3185.595568,0.015685,0.560546,63.686939,
13.000000,554.016620,0.002728,0.937068,26.559290,
14.000000,5041.551247,0.024823,0.751794,80.119301,
15.000000,20498.614958,0.100930,0.884255,161.553852,
16.000000,3767.313019,0.018549,0.768760,69.258154,
17.000000,1717.451524,0.008456,0.735317,46.762455,
18.000000,3074.792244,0.015139,0.680717,62.569538,
19.000000,1440.443213,0.007092,0.585704,42.825568,
20.000000,360.110803,0.001773,0.575363,21.412784,
21.000000,16426.592798,0.080880,0.760636,144.620149,
22.000000,2409.972299,0.011866,0.749862,55.393791,
23.000000,72825.484765,0.358573,0.701972,304.506629,
24.000000,9362.880886,0.046100,0.849748,109.184203,
25.000000,2991.689751,0.014730,0.714975,61.718212,
26.000000,27.700831,0.000136,1.128379,5.938838,
27.000000,11412.742382,0.056193,0.941332,120.545240,
28.000000,27.700831,0.000136,1.128379,5.938838,
29.000000,35401.662050,0.174308,0.727205,212.308257,
30.000000,27368.421053,0.134755,0.716849,186.672322,
31.000000,4155.124654,0.020459,0.686710,72.735610,
32.000000,2797.783934,0.013776,0.762816,59.684580,
33.000000,1218.836565,0.006001,0.811843,39.393793,
34.000000,775.623269,0.003819,0.663425,31.425375,
35.000000,470.914127,0.002319,0.581553,24.486455,
36.000000,27146.814404,0.133664,0.578769,185.915028,
37.000000,3545.706371,0.017458,0.807402,67.190279,
38.000000,17534.626039,0.086336,0.690579,149.418136,
39.000000,16952.908587,0.083472,0.906145,146.918731,
40.000000,17506.925208,0.086199,0.926710,149.300065,
41.000000,941.828255,0.004637,0.797885,34.629077,
42.000000,886.426593,0.004365,0.704893,33.595139,
43.000000,5457.063712,0.026869,0.930013,83.355560,
44.000000,19058.171745,0.093837,0.648960,155.774253,
45.000000,1163.434903,0.005728,0.607289,38.488067,
46.000000,1440.443213,0.007092,0.624069,42.825568,
47.000000,3684.210526,0.018140,0.908875,68.490018,
48.000000,13905.817175,0.068468,0.776522,133.061776,
49.000000,27.700831,0.000136,1.128379,5.938838,
50.000000,16509.695291,0.081289,0.881314,144.985506,
51.000000,12576.177285,0.061922,0.910029,126.540453,
52.000000,14626.038781,0.072015,0.971700,136.464101,
53.000000,14681.440443,0.072287,0.895767,136.722312,
54.000000,6371.191136,0.031370,0.854568,90.066933,
55.000000,5235.457064,0.025778,0.760570,81.645520,
56.000000,5096.952909,0.025096,0.919653,80.558314,
57.000000,11274.238227,0.055511,0.859792,119.811543,
58.000000,20886.426593,0.102839,0.865360,163.074904,
59.000000,3933.518006,0.019368,0.950789,70.769419,
60.000000,7202.216066,0.035462,0.784423,95.760881,
61.000000,26315.789474,0.129572,0.787185,183.047272,
62.000000,15235.457064,0.075015,0.944499,139.278090,
63.000000,18033.240997,0.088791,0.785027,151.527673,
64.000000,19307.479224,0.095065,0.930485,156.789815,
65.000000,1939.058172,0.009547,1.023987,49.687881,
66.000000,19141.274238,0.094246,0.804312,156.113508,
67.000000,2188.365651,0.010775,0.700473,52.785544,
68.000000,19141.274238,0.094246,0.860207,156.113508,
69.000000,27.700831,0.000136,1.128379,5.938838,
70.000000,8504.155125,0.041872,0.900535,104.056843,
71.000000,14293.628809,0.070378,0.914840,134.904460,
72.000000,8808.864266,0.043372,0.909014,105.904647,
73.000000,415.512465,0.002046,0.542056,23.001020,
74.000000,48891.966759,0.240731,0.651901,249.501875,
75.000000,25457.063712,0.125344,0.779039,180.035941,
76.000000,10664.819945,0.052511,0.879308,116.528411,
77.000000,6620.498615,0.032598,0.933773,91.812203,
78.000000,14542.936288,0.071605,0.879076,136.075867,
79.000000,692.520776,0.003410,0.594708,29.694189,
80.000000,166.204986,0.000818,0.766583,14.547122,
81.000000,14349.030471,0.070651,0.885042,135.165650,
82.000000,5290.858726,0.026051,0.972759,82.076370,
83.000000,858.725762,0.004228,0.981169,33.066049,
84.000000,11606.648199,0.057148,0.841156,121.564976,
85.000000,1440.443213,0.007092,0.465153,42.825568,
86.000000,83.102493,0.000409,0.977205,10.286369,
87.000000,19224.376731,0.094656,0.940015,156.452027,
88.000000,30609.418283,0.150713,0.746902,197.416113,
89.000000,83.102493,0.000409,0.977205,10.286369,
90.000000,775.623269,0.003819,0.828004,31.425375,
91.000000,43130.193906,0.212361,0.731090,234.339643,
92.000000,3684.210526,0.018140,0.867540,68.490018,
93.000000,2022.160665,0.009957,0.648515,50.741452,
94.000000,13684.210526,0.067377,0.741167,131.997265,
95.000000,7229.916898,0.035598,0.852741,95.944860,
96.000000,692.520776,0.003410,0.611950,29.694189,
97.000000,29612.188366,0.145802,0.743080,194.173657,
98.000000,1163.434903,0.005728,0.710275,38.488067,
99.000000,31578.947368,0.155486,0.725718,200.518240,
100.000000,6648.199446,0.032734,0.857066,92.004078,
101.000000,39639.889197,0.195176,0.677881,224.657683,
102.000000,15761.772853,0.077607,0.792678,141.663377,
103.000000,23684.210526,0.116615,0.778547,173.653890,
104.000000,23905.817175,0.117706,0.791716,174.464414,
105.000000,3545.706371,0.017458,0.902703,67.190279,
106.000000,4349.030471,0.021413,0.934302,74.413423,
107.000000,15429.362881,0.075970,0.914502,140.161603,
108.000000,19529.085873,0.096156,0.897650,157.687046,
109.000000,25983.379501,0.127935,0.894689,181.887510,
110.000000,17396.121884,0.085654,0.876836,148.826847,
111.000000,20332.409972,0.100111,0.745623,160.897571,
112.000000,17506.925208,0.086199,0.769209,149.300065,
113.000000,18227.146814,0.089746,0.863346,152.340159,
114.000000,9113.573407,0.044873,0.948113,107.720760,
115.000000,1135.734072,0.005592,0.992451,38.027116,
116.000000,4349.030471,0.021413,0.910744,74.413423,
117.000000,20526.315789,0.101066,0.781195,161.662973,
118.000000,8587.257618,0.042281,0.880597,104.564028,
119.000000,9889.196676,0.048692,0.903361,112.211035,
120.000000,5567.867036,0.027415,0.784344,84.197556,
121.000000,8975.069252,0.044191,0.796656,106.899079,
122.000000,4349.030471,0.021413,0.987479,74.413423,
123.000000,17783.933518,0.087563,0.928089,150.476601,
124.000000,26066.481994,0.128344,0.903107,182.178143,
125.000000,15457.063712,0.076106,0.941207,140.287365,
126.000000,7313.019391,0.036007,0.803999,96.494691,
127.000000,18753.462604,0.092337,0.901346,154.523947,
128.000000,7894.736842,0.038872,0.941924,100.259120,
129.000000,20997.229917,0.103385,0.926630,163.506891,
130.000000,18421.052632,0.090700,0.893744,153.148335,
131.000000,4265.927978,0.021004,0.818053,73.699038,
132.000000,6371.191136,0.031370,0.851390,90.066933,
133.000000,5927.977839,0.029188,1.000870,86.877706,
134.000000,8753.462604,0.043100,0.908006,105.571089,
135.000000,34182.825485,0.168307,0.714577,208.621488,
136.000000,12631.578947,0.062194,0.910078,126.818870,
137.000000,16897.506925,0.083199,0.850786,146.678472,
138.000000,19473.684211,0.095883,0.738323,157.463217,
139.000000,28088.642659,0.138301,0.812853,189.112587,
140.000000,30083.102493,0.148121,0.755117,195.711511,
141.000000,387.811634,0.001909,0.784007,22.221096,
142.000000,21551.246537,0.106113,0.839666,165.649930,
143.000000,1024.930748,0.005046,0.727547,36.124540,
144.000000,27.700831,0.000136,1.128379,5.938838,
145.000000,24598.337950,0.121116,0.680717,176.973378,
146.000000,22049.861496,0.108568,0.768292,167.555232,
147.000000,29030.470914,0.142938,0.753052,192.256973,
148.000000,25512.465374,0.125616,0.828350,180.231739,
149.000000,8919.667590,0.043918,0.837153,106.568633,
150.000000,11274.238227,0.055511,0.737018,119.811543,
151.000000,23379.501385,0.115114,0.927567,172.533202,
152.000000,38531.855956,0.189720,0.837506,221.495559,
153.000000,42382.271468,0.208679,0.582921,232.298911,
154.000000,14487.534626,0.071333,0.853558,135.816428,
155.000000,48504.155125,0.238821,0.651967,248.510379,
156.000000,12520.775623,0.061649,0.887898,126.261422,
157.000000,23711.911357,0.116751,0.906951,173.755412,
158.000000,16094.182825,0.079243,0.799607,143.149398,
159.000000,6315.789474,0.031097,0.945107,89.674483,
160.000000,21966.759003,0.108158,0.934572,167.239189,
161.000000,12493.074792,0.061513,0.842498,126.121675,
162.000000,2991.689751,0.014730,0.973830,61.718212,
163.000000,20027.700831,0.098611,0.822423,159.687384,
164.000000,9722.991690,0.047873,0.803629,111.264089,
165.000000,10803.324100,0.053193,0.944191,117.282648,
166.000000,12631.578947,0.062194,0.940775,126.818870,
167.000000,18144.044321,0.089336,0.767169,151.992482,
168.000000,30637.119114,0.150849,0.810061,197.505422,
169.000000,28975.069252,0.142665,0.835910,192.073434,
170.000000,16648.199446,0.081971,0.908068,145.592396,
171.000000,18448.753463,0.090837,0.762107,153.263441,
172.000000,27285.318560,0.134346,0.783117,186.388698,
173.000000,17617.728532,0.086745,0.813379,149.771789,
174.000000,20332.409972,0.100111,0.704121,160.897571,
175.000000,25678.670360,0.126435,0.732959,180.817860,
176.000000,14376.731302,0.070787,0.944981,135.296056,
177.000000,23324.099723,0.114842,0.880122,172.328657,
178.000000,1634.349030,0.008047,0.743210,45.617078,
179.000000,23656.509695,0.116478,0.888622,173.552308,
180.000000,24487.534626,0.120570,0.667124,176.574340,
181.000000,26204.986150,0.129026,0.906738,182.661503,
182.000000,10498.614958,0.051692,0.912138,115.616832,
183.000000,664.819945,0.003273,0.707776,29.094244,
184.000000,10637.119114,0.052374,0.876095,116.376977,
185.000000,23822.714681,0.117297,0.806129,174.160909,
186.000000,11080.332410,0.054557,0.885173,118.776754,
187.000000,21274.238227,0.104749,0.898965,164.581899,
188.000000,16980.609418,0.083608,0.855671,147.038714,
189.000000,14376.731302,0.070787,0.840235,135.296056,
190.000000,9168.975069,0.045146,0.885071,108.047682,
191.000000,8421.052632,0.041463,0.886071,103.547174,
192.000000,5734.072022,0.028233,0.953326,85.444995,
193.000000,39944.598338,0.196676,0.687894,225.519494,
194.000000,15512.465374,0.076379,0.925737,140.538551,
195.000000,19224.376731,0.094656,0.739002,156.452027,
196.000000,9612.188366,0.047328,0.730033,110.628289,
197.000000,18975.069252,0.093428,0.741564,155.434258,
198.000000,23268.698061,0.114569,0.649796,172.123870,
199.000000,17451.523546,0.085927,0.931225,149.063644,
200.000000,19584.487535,0.096429,0.835677,157.910557,
201.000000,7783.933518,0.038326,0.949321,99.553061,
202.000000,1883.656510,0.009275,1.009253,48.972910,
203.000000,33601.108033,0.165443,0.739525,206.838728,
204.000000,6814.404432,0.033552,0.959805,93.147030,
205.000000,35207.756233,0.173353,0.794454,211.726020,
206.000000,12714.681440,0.062604,0.943146,127.235354,
207.000000,27368.421053,0.134755,0.883113,186.672322,
208.000000,41578.947368,0.204724,0.665048,230.086853,
209.000000,26066.481994,0.128344,0.918233,182.178143,
210.000000,15817.174515,0.077879,0.960528,141.912128,
211.000000,47479.224377,0.233775,0.812596,245.870751,
212.000000,32243.767313,0.158760,0.777765,202.617965,
213.000000,11939.058172,0.058785,0.911156,123.293475,
214.000000,20664.819945,0.101748,0.919266,162.207478,
215.000000,14321.329640,0.070514,0.915726,135.035119,
216.000000,12437.673130,0.061240,0.752719,125.841715,
217.000000,11024.930748,0.054284,0.929925,118.479440,
218.000000,8975.069252,0.044191,0.879759,106.899079,
219.000000,15817.174515,0.077879,0.783605,141.912128,
220.000000,41468.144044,0.204178,0.539031,229.780071,
221.000000,25096.952909,0.123571,0.690274,178.758029,
222.000000,53296.398892,0.262417,0.666658,260.497759,
223.000000,18310.249307,0.090155,0.894008,152.687044,
224.000000,15096.952909,0.074333,0.919912,138.643563,
225.000000,27451.523546,0.135164,0.831497,186.955517,
226.000000,31191.135734,0.153577,0.723351,199.283184,
227.000000,41440.443213,0.204042,0.634184,229.703311,
228.000000,81745.152355,0.402491,0.526141,322.616120,
229.000000,12271.468144,0.060421,0.947714,124.998074,
230.000000,11357.340720,0.055920,0.859893,120.252299,
231.000000,5595.567867,0.027551,0.800864,84.406743,
232.000000,21135.734072,0.104067,0.917518,164.045276,
233.000000,11274.238227,0.055511,0.967158,119.811543,
234.000000,25817.174515,0.127117,0.771437,181.304847,
235.000000,20720.221607,0.102021,0.826560,162.424769,
236.000000,35927.977839,0.176900,0.753448,213.880626,
237.000000,20387.811634,0.100384,0.813222,161.116629,
238.000000,13988.919668,0.068878,0.841044,133.458779,
239.000000,19224.376731,0.094656,0.857398,156.452027,
240.000000,16066.481994,0.079107,0.720895,143.026152,
241.000000,13656.509695,0.067241,0.782558,131.863597,
242.000000,19501.385042,0.096020,0.953461,157.575171,
243.000000,25180.055402,0.123980,0.747021,179.053741,
244.000000,13268.698061,0.065331,0.935420,129.977810,
245.000000,12409.972299,0.061103,0.909881,125.701502,
246.000000,25927.977839,0.127662,0.688784,181.693497,
247.000000,36398.891967,0.179218,0.438423,215.277748,
248.000000,58891.966759,0.289968,0.608941,273.831300,
249.000000,15180.055402,0.074742,0.655268,139.024627,
250.000000,55207.756233,0.271828,0.689994,265.127702,
251.000000,14792.243767,0.072833,0.895422,137.237275,
252.000000,7368.421053,0.036280,0.860870,96.859512,
253.000000,20443.213296,0.100657,0.883059,161.335389,
254.000000,15013.850416,0.073924,0.892680,138.261448,
255.000000,7036.011080,0.034643,0.673957,94.649498,
256.000000,18310.249307,0.090155,0.918773,152.687044,
257.000000,25429.362881,0.125207,0.897826,179.937963,
258.000000,13905.817175,0.068468,0.888859,133.061776,
259.000000,360.110803,0.001773,0.697730,21.412784,
260.000000,39445.983380,0.194221,0.682007,224.107532,
261.000000,18144.044321,0.089336,0.941415,151.992482,
262.000000,498.614958,0.002455,0.612952,25.196355,
263.000000,30914.127424,0.152213,0.623425,198.396294,
264.000000,692.520776,0.003410,0.927522,29.694189,
265.000000,22160.664820,0.109113,0.664184,167.975697,
266.000000,23213.296399,0.114296,0.718120,171.918838,
267.000000,27.700831,0.000136,1.128379,5.938838,
268.000000,27.700831,0.000136,1.128379,5.938838,
269.000000,21135.734072,0.104067,0.789902,164.045276,
270.000000,21108.033241,0.103930,0.697017,163.937740,
271.000000,33019.390582,0.162579,0.720328,205.040469,
272.000000,33157.894737,0.163261,0.739360,205.470053,
273.000000,61994.459834,0.305244,0.690237,280.951593,
274.000000,19085.872576,0.093974,0.867764,155.887420,
275.000000,29861.495845,0.147030,0.639043,194.989326,
276.000000,20000.000000,0.098475,0.684676,159.576912,
277.000000,858.725762,0.004228,0.761871,33.066049,
278.000000,6149.584488,0.030279,0.865886,88.486689,
279.000000,19307.479224,0.095065,0.781517,156.789815,
280.000000,1606.648199,0.007911,0.768624,45.228841,
281.000000,21135.734072,0.104067,0.653759,164.045276,
282.000000,12991.689751,0.063968,0.858616,128.613892,
283.000000,29584.487535,0.145666,0.903719,194.082816,
284.000000,44847.645429,0.220818,0.577309,238.959820,
285.000000,17146.814404,0.084426,0.648681,147.756564,
286.000000,11606.648199,0.057148,0.905952,121.564976,
287.000000,6094.182825,0.030006,0.876032,88.087199,
288.000000,277.008310,0.001364,0.865427,18.780254,
289.000000,29473.684211,0.145120,0.712445,193.719024,
290.000000,63157.894737,0.310972,0.499033,283.575615,
291.000000,55401.662050,0.272783,0.580529,265.592897,
292.000000,27.700831,0.000136,1.128379,5.938838,
293.000000,1606.648199,0.007911,0.823106,45.228841,
294.000000,27.700831,0.000136,1.128379,5.938838,
295.000000,27894.736842,0.137346,0.635975,188.458701,
296.000000,10637.119114,0.052374,0.803661,116.376977,
297.000000,15761.772853,0.077607,0.802481,141.663377,
298.000000,9750.692521,0.048010,0.899439,111.422472,
299.000000,16121.883657,0.079380,0.919214,143.272537,
300.000000,2963.988920,0.014594,0.897850,61.431815,
301.000000,28504.155125,0.140347,0.688733,190.506214,
302.000000,31772.853186,0.156441,0.626143,201.132924,
303.000000,3019.390582,0.014867,1.006487,62.003286,
304.000000,25318.559557,0.124662,0.768201,179.545513,
305.000000,12797.783934,0.063013,0.812982,127.650478,
306.000000,17590.027701,0.086609,0.926930,149.653997,
307.000000,20055.401662,0.098747,0.913363,159.797780,
308.000000,20027.700831,0.098611,0.719141,159.687384,
309.000000,49002.770083,0.241276,0.557724,249.784436,
310.000000,3379.501385,0.016640,0.973225,65.596607,
311.000000,32216.066482,0.158623,0.800816,202.530911,
312.000000,71495.844875,0.352026,0.629952,301.713999,
313.000000,14792.243767,0.072833,0.925953,137.237275,
314.000000,26454.293629,0.130254,0.711048,183.528343,
315.000000,33767.313019,0.166261,0.632961,207.349652,
316.000000,146897.506925,0.723284,0.418172,432.476259,
317.000000,997.229917,0.004910,0.683901,35.633026,
318.000000,21024.930748,0.103521,0.794749,163.614710,
319.000000,10526.315789,0.051829,0.943078,115.769260,
320.000000,71357.340720,0.351344,0.482884,301.421612,
321.000000,360.110803,0.001773,0.575363,21.412784,
322.000000,2216.066482,0.010911,0.835264,53.118579,
323.000000,36509.695291,0.179764,0.774580,215.605166,
324.000000,637.119114,0.003137,0.855636,28.481665,
325.000000,7839.335180,0.038599,0.784151,99.906714,
326.000000,36481.994460,0.179627,0.578131,215.523358,
327.000000,9972.299169,0.049101,0.914568,112.681523,
